CASEID,recid,wght_per,wght_csp,wght_snt,spltsmpl,whw120gr,whw_230,whw_240,jsr_01gr,jsr_02,jsr_03,jsr_04,jsr_05,jsr_06,jsr_07,jsr_08,jsr_09,jsr_10,wir_01,wir_02,wir_03,wir_04,wir_05,wir_06,wir_07,heh_01,heh_02,heh_03,heh_04,heh_09,heh_10,heh_11,drr_110,smk_05,srh_110,srh_115,fam_03,fam_04,smg_01,smg_02,ttlincg2,famincg2
 1880, 1880,  302.2297,  708.7490,    0.0000,2,3, 4,1,6,2,96,2,6,6,2,3,2,2,2,2,2,1,3,1,1,2, 4, 1, 1, 0,5,6, 4,2,3,2,9,9,3, 1,3,6
 1881, 1881,  629.4451, 1476.5179,    0.0000,2,2, 1,6,6,2,96,2,6,6,2,2,3,1,1,1,3,1,3,1,1,2, 3,97, 4, 0,1,3, 7,3,3,1,1,3,1,96,1,1
 1882, 1882,  903.7712,    0.0000, 2554.8179,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 2, 5, 1, 0,7,6, 6,3,4,3,6,6,2, 2,2,2
 1883, 1883,  796.2059, 1646.3611,    0.0000,2,3, 9,6,2,6,96,2,6,6,6,6,2,1,2,2,2,6,6,1,6,2, 3, 2, 3, 0,4,4, 7,3,2,2,6,6,3, 2,1,1
 1884, 1884, 1843.0996,    0.0000, 3707.9061,1,3, 1,6,6,2,96,2,6,6,2,4,2,2,4,2,1,4,5,1,1,4, 2, 3, 1, 0,3,5, 6,3,4,1,2,2,2, 7,4,6
 1885, 1885,  429.3750,    0.0000, 1016.3692,1,3, 1,6,6,3,96,1,5,3,3,3,3,3,1,2,3,2,4,1,1,3, 5, 5, 3, 2,4,5, 3,3,3,2,1,1,2, 3,3,6
 1886, 1886, 2211.6385,    0.0000, 5335.5606,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 6,96,96,96,6,6, 5,3,1,2,2,2,3, 3,2,6
 1887, 1887, 1814.2792, 2931.0901,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,2,2,2,2,2,1,3,4,2,1,3, 5, 3, 5,10,2,3, 3,3,3,3,3,2,3, 1,3,6
 1888, 1888,  459.7520, 1081.5579,    0.0000,2,3, 4,2,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 6,96,96,96,6,6, 6,3,2,2,1,1,1,96,3,5
 1889, 1889, 1050.5928, 2038.2467,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 1, 4, 0,7,6, 6,3,2,2,6,6,1,96,2,2
 1890, 1890, 1140.6598, 2793.9129,    0.0000,2,9, 7,9,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 1, 6, 3,10,1,1, 1,1,1,1,6,6,1,96,4,4
 1891, 1891, 2917.9794,    0.0000, 6272.9638,1,3, 2,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 5, 3, 0,5,6, 7,3,3,1,9,9,2, 6,2,2
 1892, 1892,  261.6184,  519.9185,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 5, 5, 4, 0,5,6, 7,3,1,1,2,2,4, 3,1,2
 1893, 1893, 6127.1391,15223.8656,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 5, 3, 4, 5,4,3, 7,3,3,3,2,2,3, 4,1,1
 1894, 1894,  569.4108, 1358.6109,    0.0000,2,3, 1,6,6,2,96,1,1,3,3,2,2,1,1,1,2,1,3,2,1,4, 2, 5, 1, 0,2,2, 7,3,4,5,2,2,3, 2,1,1
 1895, 1895,  443.4990,    0.0000, 1050.4707,1,4, 1,6,6,2,96,1,1,1,3,2,3,2,1,3,1,2,2,2,2,2, 2, 5, 4, 4,3,4, 3,3,2,2,6,6,3, 1,1,1
 1896, 1896, 5022.4417,10409.1680,    0.0000,2,3, 8,1,6,2,96,2,6,6,1,2,1,1,2,2,2,1,4,1,1,1, 5, 3, 1, 0,3,5, 5,3,1,3,3,2,2, 1,1,6
 1897, 1897,  923.0793, 1958.9595,    0.0000,2,3, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 5, 3, 3,5,6, 4,3,2,2,1,1,3, 3,3,3
 1898, 1898, 1046.2774, 2307.3305,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 5, 4, 0,2,2, 2,3,2,1,2,2,2, 5,1,3
 1899, 1899,  440.3153,    0.0000,  759.5504,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 5, 4, 4,4,3, 6,3,3,2,2,3,2, 3,2,5
 1900, 1900,  624.6498,    0.0000, 1380.3678,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 5, 1,15,3,2, 5,3,2,1,2,2,3, 5,1,6
 1901, 1901, 1612.3035, 4260.0624,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,4,3,2,4,1,2,3,4,1,2,3, 4, 3, 5, 0,7,6, 3,3,3,3,2,2,3, 1,6,6
 1902, 1902,  314.8068,  578.8117,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 5, 3, 0,7,6, 7,3,3,3,1,2,3, 3,1,3
 1903, 1903,  372.2023,    0.0000, 1012.6368,1,4, 1,6,1,6,96,2,6,6,6,6,1,1,2,5,1,6,6,1,6,1, 3, 5, 4, 1,4,3, 5,3,2,3,6,6,3, 1,4,4
 1904, 1904, 1366.8133, 2495.9737,    0.0000,2,2, 7,1,6,1,96,2,6,6,1,1,1,1,2,2,2,2,4,2,1,2, 5, 3, 4, 0,3,3, 7,3,2,1,2,2,2, 5,2,4
 1905, 1905,  868.1554, 2071.2877,    0.0000,2,3, 1,6,1,6,96,2,6,6,6,6,1,1,1,2,3,6,6,1,6,2, 1, 5, 5,25,3,1, 7,3,2,2,6,6,3, 2,6,6
 1906, 1906, 1840.0639,    0.0000, 2773.4793,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 6,96,96,96,6,6, 1,3,3,3,2,2,2, 6,3,5
 1907, 1907,  546.8359,    0.0000, 1059.4135,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 5, 5, 3, 6,5,6, 5,3,3,2,6,6,2, 6,2,2
 1908, 1908,  186.8422,    0.0000,  492.3600,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 4, 6, 4, 0,5,6, 7,3,1,1,2,1,1,96,2,2
 1909, 1909, 1526.9328, 3060.3096,    0.0000,2,4, 1,6,6,1,96,2,6,6,1,1,1,1,1,2,2,1,2,1,2,2, 4, 3, 4, 1,5,6, 6,2,3,2,2,2,2, 2,5,5
 1910, 1910,  817.2303, 1541.0234,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 4, 5, 3, 0,5,6, 6,1,4,2,6,6,2, 3,1,1
 1911, 1911,  752.0794, 1276.9150,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 3, 4, 0,4,3, 3,3,2,2,2,1,2, 2,1,2
 1912, 1912, 6352.4023,    0.0000, 9672.4570,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 1, 4, 4,3,3, 7,3,3,3,2,2,1,96,1,2
 1913, 1913, 7002.1314,    0.0000,14233.3867,1,3, 1,6,6,2,96,2,6,6,1,2,1,1,1,2,2,2,3,1,2,3, 4, 5, 1, 3,4,5, 6,3,3,2,2,2,3, 2,3,3
 1914, 1914,  654.6441,    0.0000, 1366.9718,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 3, 1, 4,5,6, 5,3,3,4,6,6,3, 6,3,3
 1915, 1915,  590.8262,    0.0000, 1353.0711,1,2, 2,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 5, 4, 3, 0,7,6, 5,3,3,3,2,2,1,96,1,3
 1916, 1916,  428.2952,  985.4525,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 6,96,96,96,6,6, 7,1,3,2,2,2,1,96,1,2
 1917, 1917,  250.4326,    0.0000,  411.1342,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 5, 5, 3, 0,5,6, 6,3,3,3,6,6,1,96,2,2
 1918, 1918, 1300.2096, 2427.0466,    0.0000,2,3, 1,6,6,2,96,2,6,6,3,3,3,3,3,2,2,3,4,1,2,4, 2, 3, 1, 8,3,4, 5,3,4,3,2,2,4, 7,3,6
 1919, 1919,  768.0965,    0.0000, 1673.2130,1,4, 1,6,6,2,96,2,6,6,2,2,3,1,1,4,2,2,5,2,2,2, 4, 3, 3, 0,2,5, 6,3,2,2,9,9,4, 2,2,3
